user,rating,date,review
Светлана Исакова,1,1742377259.091057,"Цены для толстосумов, а не для Россиян. Совсем сдурели, за эти цены можно десять раз отдохнуть в Турции."
Hyunjin khao,2,1742204459.091057,"Всё нормально, но цена.. оно не стоит этого"
Екатерина Жерноклюева,2,1740390059.091057,"Добрый день .Пишу отзыв ,дала еще не уехав .Мрия стала совсем не та ,уборки нет от слова совсем ,несколько раз приходилось просить шампунь и зубную пасту ,потому что забыли положить .Мне было плохо и я испачкала пастель ,потому что вырвало …"
Екатерина Подрабинюк,1,1740390059.091057,"Самый худший сервис за 32 000₽ в сутки!  Отель, который позиционирует себя как «люксовый», на деле оказался полным …"
Ирина Новосадова,5,1740390059.091057,Без комментариев
Елена Руденко,5,1737711659.091057,"Отдыхали в годовщину свадьбы 20.01.25.Спасибо за поздравление от отеля - украшен номер , цветы , шампанское, торт , очень приятно. Были первый раз, всё понравилось, обязательно вернёмся . Успехов вам и процветания"
Eugene Lawrence,4,1735033259.091057,"Отправляли доярку в качестве премии за усердный труд с Хозяйства «Выдоим всё что можно и нельзя», сказала в целом неплохой санаторий для тружеников, единственно что компот был чуть подзабродивший. Хотя вероятно это был особый оттенок вкуса местного сорта винограда. Трудно сказать, но 4 звезды заслуженно дарим."
Elena Zayakina,5,1735033259.091057,"Была гостем на Гала Ужине от Сбербанка Море впечатлений и эмоций! Благодарю Мрию и Сбер за приглашение! Официант Елена (стол 28)  профессионал, таких сотрудников берегите! Спасибо всем организаторам!"
Милана,3,1735033259.091057,"Были детские мастер классы, мои дети пришли, а там сидят кобылины, взрослые"
pupok 303,5,1732441259.091057,"Лучший отель!!!! Почему люди жалуются, все идеально!! Цены все оправдывают!! Отличный отель ) Точно приеду туда снова ) …"
Дмитрий Дмитренко,2,1729762859.091057,"Впечатления от отдыха остались негативные, началось все при заезде, на ресепшене у работницы буд-то какой-то траур, визуального контакта с клиентом избегают, не приветствуют, встречают на недовольном лице (хотя во всех отелях и гостиницах …"
Д Анастасия,5,1729762859.091057,"Я оставила очень негативный отзыв о пребывании в отеле, но команда из руководителя службы обратной связи Екатерины, менеджер ресторана Дарьи и менеджера бронирования ресторанов сделали все, чтобы за оставшиеся мои дни пребывание мой отзыв …"
Стас Козлов,5,1729762859.091057,"Отличный отель, персонал очень вежливо относится"
Ксения Ковалева,3,1727170859.091057,"Территорию можно обойти за день,звук перфоратора и разных строительных машин.Сервис нам понравился,местоположение хорошее."
Дмитрий Д,1,1724492459.091057,"А теперь немного про это местечко.  Не идеальное место, но что поделать. Посетить можно. Персонал правда там бездушный, но мне, как скуфу алкоголику все нравится в целом. Немного социофоб. Приезжаю отдохнуть один. …"
Flau chi Berlin,5,1721814059.091057,"Курорт Бомастик в зоне боевых действий, здесь каждый день интересен, сможете ли вы это пережить?"
