,service_id,name,additional_id,date,text,rating,answer,label
0,1,Анастасия Скляр,,1746953106,"Мы не знали, что приедь в Мрию - испортишь день, настроение и деньги в ПУСТУЮ!!!!!!😡
 Сотрудники на кассе не знают особенностей сертификата и скидок. Само общение между сотрудниками - отвратительное! Хотя бы скрыли свое отношение перед гостями!
 Не разобравшись с нашими запросами, выдали браслеты и отправили ""в путешествие"". Не объяснили, что дали, на сто распространяется браслет!
Гуляем, стараемся радоваться видам. И начинаем узнавать от админов, что ОКАЗЫВАЕТСЯ наш браслет НИКАК не относиться к тому запросу, что мы заказали!
Потом вообще происходило не пойми что. Каждый раз надо было объясняться перед сотрудниками за эту ТУПЕЙШУЮ ситуацию! О какой тут даже настроении хорошем может идти речь, если ходишь и отчитываешься?! На каждой точке узнаешь все больше и больше про эти браслеты!!! Фоткают браслет как будто мы незаконно проникли на территорию. Почему мы должны проходить через это, когда, как и все, пришли, сказали четко КУДА мы хотим, предоставили сертификат, а получаем вот это?! 
 
 Исправили ситуацию в КОНЦЕ ДНЯ так, как ИМ выгодно! Нам - не выгодно ! 
 Просто фу!",1.0,,2
1,1,P***R,,1746865681,Именно так должен выглядеть 5* отель в 1990 -м году ..Ура !,1.0,,2
2,1,А Д,,1746010863,"Это даже разочарованием не назовешь, это просто шок. Даже предположить не могла, что давняя мечта посетить столь пафосно разрекламированный отель обернется таким провалом. Оплачивая проживание в номере 40 кв.м. по цене 100т.р./сутки, была уверена, что отдых будет хоть издалека соответствовать 5 звездам.
В итоге из плюсов это только территория!
Все остальное полный трэш. Номера изрядно уставшие. Такой провалившийся матрац не встречали даже в 3 звездах. Ребёнку 7-ми лет предоставлен халат 50-го размера и тапочки 40-го. На просьбу принести детский халат в течении двух суток так и не отреагировали. 
Но это было лишь начало, далее на вторую ночь, в 23:15, проснулись от звука работающего перфоратора!?!? И далее не менее 30 минут «умоляли» по телефону остановить это безобразие. В результате помог только скандал на стойке ресепшен.
В общем, таких эмоций ну никак не ожидала от данного отеля. К слову сказать, это мой второй в жизни отрицательный отзыв о каких либо услугах и товарах. Вот как Мрия может удивить и воодушевить🙈🤬",1.0,,2
3,1,Ирина Мухина,,1745977253,"Только вернулись из Мрии. Всей семьей столкнулись с острым отравлением (или ротовирусной инфекцией). Все факты вызова неотложной помощи, обращения к врачам зафиксированы. До сих пор проходим лечение. Не ожидали такого от данного отеля!!! Половина отпуска была испорчена. Администрация отеля отказалась от какой-либо компенсации!",1.0,,2
4,1,Александр Маслов,,1745976951,"Отравились всей семьёй, провели остаток отдыха в номере пытаясь лечиться, и по дороге домой тоже всем было плохо, обратились к администрации гостиницы, отказали каким либо образом возместить моральный и физический ущерб, вот вам и высший уровень, будьте аккуратнее!",1.0,,2
5,1,Aлексей Филиппов,,1745805701,"Пытался забронировать столик в ресторане .... Нет слов, одни эмоции! Позвонил, автоответчик мне сказал, что я шестой в очереди, ждите ответа, ваш звонок очень важен для нас, бла бла бла. В итоге провисел на телефоне 20 минут и когда стал в очереди первым, звонок сорвался! Это Мрия! Как говоритcя, welcome! Скрыть",1.0,"Уважаемый Алексей!

Благодарим Вас за выбор нашего отеля.


Ситуация, которая произошла с Вами является для нас крайне неприятной. Направьте пожалуйста Ваши контактные данные на e-mail: Feedback@mriyaresort.com, наша служба управления обратной связью свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!",2
6,1,Ирина Алипова,,1745745509,"Комфорт не оправдывает ожидания. 
Отель слишком «устал», простынь порвана, на ковровом покрытии огромное желто коричневое пятно (сказали, что было прожжено окурком). 
Завтраки отличные (есть и обожраться, Как многие и делают).
Территория отеля приятная, ухоженная.
Во всех ресторанах (большинство) очень вкусно и уютно.
Ребенку понравилось, на территории много детских развлечений.",1.0,"Уважаемая Ирина!

Благодарим Вас за выбор нашего отеля. 

Благодарим Вас за выбор Mriya Resort для комфортного отдыха в Крыму, а также за то, что уделили время написанию подробного отзыва. Мы уделяем пристальное внимание всем отзывам и комментариям с целью качественного повышения уровня обслуживания.

Все сотрудники стремятся создать для наших гостей особую атмосферу уюта и гостеприимства. Именно поэтому нам особенно жаль узнавать о том, что наш Гость испытывал дискомфорт во время отдыха у нас. Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

 Мы искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса.

С уважением, команда Mriya Resort!",2
7,1,m-dey,,1745469059,"""Красивая обёртка с невкусной конфетой"": так коротко можно охарактеризовать отель Мрия. Что имеем по факту? Дорогущий, 5 -звёздочный отель с интересными локациями. Сутки начинаются от 40 тысяч рублей. После заселения в номер сразу было заметно, что внутренней отделкой давно никто не занимался: все элементы декора ""обшарпаны"" и имеют уставший вид. Особенно возникло много вопросов по стеклянной перегородке между комнатой и санузлом: для чего и зачем? Отношения персонала на ресепшене средние, сами не подойдут, но если обратиться с вопросом- подскажут. Шведская линия ресторана средняя, разнообразных блюд достаточно, на завтрак и ужин предлагают комплиментарно бокал шампанского и вина соответственно. Из плюсов можно отметить 2 интересные локации: японский сад и винный парк,что тоже входит в бесплатные услуги, если проживаете в отеле. При заселения сказали, что можно вызвать электрокар, который довезёт вас до нужной точки. Что мы и сделали. По итогу, электрокар мы прождали полчаса и решили идти пешком. Вывод: можно приехать на один день, чтобы погулять по территории. Но заселяться в сам отель за баснословные деньги и по итогу получить заниженные ожидания, это нет",1.0,"Уважаемый Гость!

Благодарим Вас за выбор нашего отеля.

Прежде всего, разрешите поблагодарить Вас за то, что нашли время и поделились с нами отзывом о Вашем пребывании. Искренне жаль, что Вам не удалось в полной мере насладиться отдыхом у нас. Для нас очень важно получать объективную обратную связь от наших гостей для улучшения сервиса. Нам важно знать не только положительные стороны отдыха гостей, но и отрицательные моменты, которые позволят нам принять конструктивные решения для их исправления.

В первую очередь позвольте принести Вам извинения за техническое состояние номера - Ваши комментарии были незамедлительно направлены руководителю соответсвующего департамента. Информация внесена в общий план по реновации. 

Рады сообщить, что в данный момент проводится реновация номерного фонда и уже сегодня можно забронировать новые роскошные номера в актуальном дизайнерском исполнении. Для бронирования доступны обновлённые категории номеров без прозрачной ванной комнаты. 

Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

Мы искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса. Приезжайте к нам снова, а мы постараемся сделать все возможное и невозможное, чтобы отдых у нас пришелся Вам по душе.

С уважением, команда Mriya Resort!",2
8,1,Юлия Габдуллина,,1745279772,"Некомпетентные сотрудники, предоставляют не верную информацию. Отдыхали 23 марта с супругом, остался по сегодняшний день только негатив. Отдыхали без питомца, персонал был предупрежден,что необходимо сделать возврат денежных средств в размере 3 тыс руб за питомца. Один сказал в день заезда вы заполните заявление и вам в течение 3 дней сделают возврат, в день заезда нам его не осуществили (заявление не заполнили), сказали в день выезда сделаете заявление на возврат. По итогу в день выезда нам говорят, с вами свяжутся и пришлют заявление. проходит 2 дня с нами никто не связывается, пока я сама не написала в чат. Потом самое интересное, нам начинают говорить,что возврат осуществляется до 45 дней.... На просьбу связать меня с руководством -игнор. На запрос регламента по срокам возврата - игнор. Простите, но с подобным отношением у нас на полуострове мы столкнулись впервые. Хуже сервиса я не встречала. Не думала,что из за такой суммы мне придется совершить столько операций, и переписок ....с 25 марта по 22 апреля так возврат и не осуществлен. Даже не смотря на то,что акт о возврате был подписан еще 18 апреля. Сама локация безусловно красива. Но этого не достаточно, чтоб клиенты возвращались.",1.0,"Уважаемая Юлия!

Благодарим Вас за выбор нашего отеля.

Предоставление высокого уровня сервиса с учетом всех пожеланий Гостей является нашей приоритетной задачей, поэтому обратная связь от Вас очень важна для нас.

Ситуация, которая произошла с Вами является для нас крайне неприятной, ведь мы всегда дорожим Гостями и предъявляем высокие требования к нашему персоналу. Направьте пожалуйста Ваши контактные данные на e-mail: Feedback@mriyaresort.com, наша служба управления обратной связью свяжется с Вами для уточнения деталей.

Искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса. Приезжайте к нам снова, а мы постараемся сделать все возможное и невозможное, чтобы отдых у нас пришелся Вам по душе.

С уважением, команда Mriya Resort!",2
9,1,Ivanova112,,1745065408,"И так ,посещение в конце апреля 2025 году будет последним.В номере 28 градусов тепла и кондиционер конечно же работает только на обогрев,ребёнку год вот спит с открытой дверью балкона.Кухня обнищала ,я в шоке -макароны и рис ,ребра—мой шок в шоке.Больше мы сюда ни ногой.Завтра буду спрашивать или возможно вернуть деньги ,чтобы уехать отсюда ,потому что наши 9 дней просто невыносимо здесь находится .",1.0,"Уважаемый Гость!

Благодарим Вас за выбор нашего отеля. 

Благодарим Вас за выбор Mriya Resort для комфортного отдыха в Крыму, а также за то, что уделили время написанию подробного отзыва. Мы уделяем пристальное внимание всем отзывам и комментариям с целью качественного повышения уровня обслуживания.

Все сотрудники стремятся создать для наших гостей особую атмосферу уюта и гостеприимства. Именно поэтому нам особенно жаль узнавать о том, что наш Гость испытывал дискомфорт во время отдыха у нас. Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

 Мы искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса.

С уважением, команда Mriya Resort!",2
